,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted_encoded,department_encoded,region_encoded,education_encoded,gender_encoded,recruitment_channel_encoded,is_promoted
0,65438,Sales & Marketing,region_7,Master's & above,F,sourcing,1,35,5.0,8,0,49.0,0,7,31,2,0,2,No
1,65141,Operations,region_22,Bachelor's,M,other,1,30,5.0,4,0,60.0,0,4,14,0,1,0,No
2,7513,Sales & Marketing,region_19,Bachelor's,M,sourcing,1,34,3.0,7,0,50.0,0,7,10,0,1,2,No
4,48945,Technology,region_26,Bachelor's,M,other,1,45,3.0,2,0,73.0,0,8,18,0,1,0,No
6,20379,Operations,region_20,Bachelor's,F,other,1,31,3.0,5,0,59.0,0,4,12,0,0,0,No
7,16290,Operations,region_34,Master's & above,M,sourcing,1,33,3.0,6,0,63.0,0,4,27,2,1,2,No
8,73202,Analytics,region_20,Bachelor's,M,other,1,28,4.0,5,0,83.0,0,0,12,0,1,0,No
9,28911,Sales & Marketing,region_1,Master's & above,M,sourcing,1,32,5.0,5,0,54.0,0,7,0,2,1,2,No
11,49017,Sales & Marketing,region_7,Bachelor's,F,sourcing,1,35,5.0,3,0,50.0,1,7,31,0,0,2,Yes
12,60051,Sales & Marketing,region_4,Bachelor's,M,sourcing,1,49,5.0,5,0,49.0,0,7,28,0,1,2,No
14,77040,R&D,region_2,Master's & above,M,sourcing,1,37,3.0,7,0,84.0,0,6,11,2,1,2,No
16,7152,Technology,region_2,Bachelor's,M,other,1,38,3.0,5,0,77.0,0,8,11,0,1,0,No
18,17436,Sales & Marketing,region_31,Bachelor's,M,other,1,34,5.0,8,0,46.0,0,7,24,0,1,0,No
19,54461,Operations,region_15,Bachelor's,M,other,1,37,3.0,9,0,59.0,0,4,6,0,1,0,No
20,12067,Procurement,region_14,Bachelor's,M,other,1,35,3.0,7,0,75.0,0,5,5,0,1,0,No
22,58789,Finance,region_11,Bachelor's,F,other,1,28,3.0,4,0,63.0,0,1,2,0,0,0,No
25,26585,Technology,region_22,Bachelor's,M,other,1,27,5.0,3,0,83.0,0,8,14,0,1,0,No
